company;contract;month;year;lines
ComTel;Control;1;2013;6
ComTel;Control;1;2013;8
ComTel;Control;1;2013;9
ComTel;Control;1;2013;11
ComTel;Control;1;2013;15
ComTel;Control;1;2013;16
ComTel;Control;1;2013;20
ComTel;Control;1;2013;22
ComTel;Control;1;2013;24
ComTel;Control;1;2013;41
ComTel;Control;1;2013;51
ComTel;Control;1;2013;54
ComTel;Control;1;2013;60
ComTel;Control;1;2013;71
ComTel;Control;1;2013;79
ComTel;Control;1;2013;83
ComTel;Control;1;2013;98
ComTel;Control;1;2013;98
ComTel;Control;1;2013;156
ComTel;Control;1;2013;170
ComTel;Control;1;2013;191
ComTel;Control;1;2013;426
ComTel;Control;1;2013;550
ComTel;Control;1;2013;918
ComTel;Control;1;2013;1218
ComTel;Postpaid;1;2013;5807
ComTel;Control;1;2013;6599
ComTel;Postpaid;1;2013;8582
ComTel;Postpaid;1;2013;8706
ComTel;Postpaid;1;2013;8941
ComTel;Postpaid;1;2013;10225
ComTel;Postpaid;1;2013;15730
ComTel;Prepaid;1;2013;16426
ComTel;Postpaid;1;2013;17092
ComTel;Postpaid;1;2013;17184
ComTel;Postpaid;1;2013;17572
ComTel;Postpaid;1;2013;17815
ComTel;Postpaid;1;2013;20984
ComTel;Postpaid;1;2013;21603
ComTel;Postpaid;1;2013;21708
ComTel;Postpaid;1;2013;24807
ComTel;Prepaid;1;2013;36292
ComTel;Postpaid;1;2013;36721
ComTel;Prepaid;1;2013;38602
ComTel;Prepaid;1;2013;43438
ComTel;Postpaid;1;2013;45555
ComTel;Prepaid;1;2013;46141
ComTel;Prepaid;1;2013;46435
ComTel;Postpaid;1;2013;49837
ComTel;Postpaid;1;2013;50322
ComTel;Postpaid;1;2013;55041
ComTel;Postpaid;1;2013;55601
ComTel;Postpaid;1;2013;56011
ComTel;Prepaid;1;2013;67723
ComTel;Prepaid;1;2013;72731
ComTel;Prepaid;1;2013;87032
ComTel;Postpaid;1;2013;97158
ComTel;Prepaid;1;2013;102240
ComTel;Prepaid;1;2013;120678
ComTel;Prepaid;1;2013;123967
ComTel;Postpaid;1;2013;133940
ComTel;Prepaid;1;2013;134037
ComTel;Prepaid;1;2013;138393
ComTel;Prepaid;1;2013;155045
ComTel;Prepaid;1;2013;156545
ComTel;Prepaid;1;2013;172472
ComTel;Postpaid;1;2013;188339
ComTel;Prepaid;1;2013;194421
ComTel;Prepaid;1;2013;209004
ComTel;Postpaid;1;2013;225961
ComTel;Prepaid;1;2013;278037
ComTel;Prepaid;1;2013;350937
ComTel;Prepaid;1;2013;388682
ComTel;Prepaid;1;2013;455297
ComTel;Prepaid;1;2013;494585
ComTel;Postpaid;1;2013;1521105
ComTel;Prepaid;1;2013;2564784
ComTel;Prepaid;1;2013;3740333
SurTel;Prepaid;1;2013;1
SurTel;Postpaid;1;2013;23
SurTel;Postpaid;1;2013;49
SurTel;Postpaid;1;2013;62
SurTel;Postpaid;1;2013;156
SurTel;Postpaid;1;2013;175
SurTel;Postpaid;1;2013;216
SurTel;Prepaid;1;2013;285
SurTel;Postpaid;1;2013;312
SurTel;Postpaid;1;2013;398
SurTel;Prepaid;1;2013;472
SurTel;Prepaid;1;2013;635
SurTel;Control;1;2013;746
SurTel;Prepaid;1;2013;815
SurTel;Postpaid;1;2013;879
SurTel;Postpaid;1;2013;1142
SurTel;Prepaid;1;2013;1166
SurTel;Control;1;2013;1247
SurTel;Control;1;2013;1412
SurTel;Postpaid;1;2013;1577
SurTel;Prepaid;1;2013;1889
SurTel;Postpaid;1;2013;2066
SurTel;Control;1;2013;2163
SurTel;Control;1;2013;2310
SurTel;Control;1;2013;3228
SurTel;Postpaid;1;2013;3709
SurTel;Prepaid;1;2013;4435
SurTel;Control;1;2013;5202
SurTel;Control;1;2013;7028
SurTel;Prepaid;1;2013;12927
SurTel;Prepaid;1;2013;13035
SurTel;Control;1;2013;13350
SurTel;Control;1;2013;15107
