company;product_line;year;revenue
ComTel;payphone;2013;10690680
ComTel;longdistance;2013;12285877
ComTel;others;2013;85336817
ComTel;landline;2013;107044890
ComTel;cabletv;2013;119579263
ComTel;data;2013;129783150
ComTel;internet;2013;171809964
ComTel;connection;2013;451196666
ComTel;devices;2013;602707188
ComTel;mobile;2013;3231865503
Others;payphone;2013;573
Others;devices;2013;37934
Others;connection;2013;1126238
Others;others;2013;3259053
Others;data;2013;5866152
Others;landline;2013;18446334
Others;longdistance;2013;43504830
Others;internet;2013;47606796
Others;devices;2013;64119
Others;data;2013;14667271
Others;data;2013;12992458
Others;cabletv;2013;23462078
Others;devices;2013;46589
Others;internet;2013;14735641
Others;landline;2013;26634419
Others;others;2013;34639637
Others;longdistance;2013;52958007
Others;devices;2013;340818
Others;connection;2013;839444
Others;landline;2013;1671567
Others;longdistance;2013;8110516
QuickTV;devices;2013;441324
QuickTV;cabletv;2013;190055140
SurTel;payphone;2013;185
SurTel;landline;2013;460362
SurTel;internet;2013;14218785
SurTel;connection;2013;51597006
SurTel;others;2013;63866079
SurTel;devices;2013;86143176
SurTel;mobile;2013;608200298
Others;connection;2013;18699
Others;longdistance;2013;4021824
Others;landline;2013;5138986
Others;internet;2013;5232000
Others;others;2013;7111000
Others;data;2013;9291000
Others;payphone;2013;13745490
Others;devices;2013;15143000
Others;others;2013;84611
Others;longdistance;2013;1246746
Others;landline;2013;1825762
Others;longdistance;2013;24345881
Others;devices;2013;4255
Others;connection;2013;36723
Others;data;2013;188218
Others;landline;2013;438673
Others;others;2013;720958
Others;longdistance;2013;1693291
Others;others;2013;31445641
Others;internet;2013;335652
Others;cabletv;2013;831840
Others;others;2013;5803204
Others;internet;2013;17859617
Others;devices;2013;1536867
Others;mobile;2013;9706606
PeruTel;longdistance;2013;111783000
PeruTel;others;2013;160052000
PeruTel;connection;2013;302327000
PeruTel;payphone;2013;412739000
PeruTel;data;2013;573606000
PeruTel;devices;2013;574764000
PeruTel;cabletv;2013;679530000
PeruTel;landline;2013;832602000
PeruTel;internet;2013;1306055000
PeruTel;mobile;2013;3876234000
Others;landline;2013;937175
Others;cabletv;2013;1666431
Others;data;2013;87518
Others;devices;2013;358645
Others;internet;2013;4057876
Others;others;2013;36412
Others;internet;2013;405169
Others;data;2013;485140
Others;payphone;2013;58801
Others;internet;2013;334447
Others;landline;2013;1270146
ComTel;payphone;2014;8848454
ComTel;longdistance;2014;12536394
ComTel;others;2014;80208287
ComTel;landline;2014;119142207
ComTel;data;2014;146716289
ComTel;cabletv;2014;150536141
ComTel;internet;2014;241389343
ComTel;connection;2014;466934200
ComTel;devices;2014;692638499
ComTel;mobile;2014;3516893188
Others;payphone;2014;1013
Others;devices;2014;86464
Others;connection;2014;1439601
Others;others;2014;5645962
Others;data;2014;8264989
Others;landline;2014;20501527
Others;longdistance;2014;43911509
Others;internet;2014;61283935
Others;devices;2014;1901
Others;data;2014;21114335
Others;data;2014;15199614
Others;cabletv;2014;24108168
Others;internet;2014;19028789
Others;landline;2014;28247205
Others;others;2014;43581007
Others;longdistance;2014;44463316
Others;others;2014;224134
Others;connection;2014;924395
Others;landline;2014;1368268
Others;longdistance;2014;2496743
Others;data;2014;7821461
QuickTV;cabletv;2014;242060271
SurTel;payphone;2014;19
SurTel;landline;2014;126879
SurTel;internet;2014;3916268
SurTel;others;2014;54359649
SurTel;connection;2014;62909866
SurTel;devices;2014;101758862
SurTel;mobile;2014;542685048
Others;connection;2014;89765
Others;longdistance;2014;3177096
Others;devices;2014;4618063
Others;landline;2014;4896680
Others;internet;2014;5123297
Others;data;2014;10431089
Others;payphone;2014;12071352
Others;others;2014;12452024
Others;longdistance;2014;19188670
Others;devices;2014;1833
Others;others;2014;39737
Others;data;2014;64895
Others;internet;2014;122700
Others;landline;2014;258863
Others;longdistance;2014;2678476
Others;others;2014;42614932
Others;others;2014;235474
Others;landline;2014;678521
Others;internet;2014;1884864
Others;longdistance;2014;7940450
Others;others;2014;5678799
Others;internet;2014;35610839
Others;connection;2014;832
Others;devices;2014;1125366
Others;landline;2014;1617359
Others;others;2014;11784279
Others;internet;2014;33470592
Others;internet;2014;46780
Others;cabletv;2014;3559090
Others;payphone;2014;32121
